title,text,label
"Madras HC declines CBI probe into Karur stampede, orders SIT investigation","Onmanorama Lite App    Onmanorama Staff Published: October 03, 2025 05:05 PM IST 2 minuteRead Link Copied The Madras High Court on Wednesday refused to transfer the probe into the Karur stampede at actor-turned-politician Vijay’s rally to the Central Bureau of Investigation (CBI). The tragedy, which occurred on September 27, claimed 41 lives and left several others injured. A Bench of Justices M Dhandapani and M Jothiraman observed that the Tamil Nadu Police investigation is still at an early stage and that those seeking a CBI inquiry were not directly affected by the incident. Instead, the court ordered the formation of a Special Investigation Team (SIT) under senior IPS officer Asra Garg, Inspector General of Police (North Zone), to handle the probe. The Bench also recorded the State government’s assurance that no rallies or meetings will be permitted along state or national highways until Standard Operating Procedures (SOPs) are framed. It further directed the government and political parties to ensure that designated venues for rallies have adequate drinking water, sanitation, escape routes, and parking facilities. Reports suggest that a single-judge bench also criticised functionaries of Vijay’s Tamilaga Vettri Kazhagam (TVK) over the incident. The Madurai Bench issued the orders while hearing over a dozen petitions. Some had sought a CBI inquiry, others asked for SOPs for political meetings, and a third group demanded enhanced compensation for victims. The stampede occurred during a TVK campaign rally at Veluswamypuram in Karur district. Permission had reportedly been granted for around 10,000 attendees, but the crowd swelled to between 25,000 and 60,000. Many people had gathered hours in advance under hot conditions without adequate drinking water or facilities. Narrow roads, power issues, poor crowd management, and escape paths blocked by barricades and hoardings worsened the situation. At least 41 people, including women and children, lost their lives. Dozens more were injured. An FIR has since been filed against several TVK functionaries (excluding Vijay) on charges including culpable homicide not amounting to murder, negligence, and misrepresenting crowd size and venue arrangements.(With inputs from BarandBench.) © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
Net banking vs mobile banking: Which one is better?,"Onmanorama Lite App    CS Ranjith Published: October 03, 2025 04:22 PM IST 3 minuteRead Link Copied Several mobile banking apps, such as SBI's YONO, ICICI Bank's iMobile and HDFC's MobileBanking, have made bank transactions easier today. However, mobile apps such as UPI-backed Google Pay and PhonePe are preferred for online transactions these days. Even when such digital apps have made banking easy and convenient, customers should not overlook the hidden pitfalls. The widespread use of mobile apps has raised questions about whether internet banking is losing its importance. Net banking vs mobile bankingNet banking refers to transactions carried out using a desktop or laptop by connecting to the bank's official website via the internet. This is also known as online banking, e-banking, and internet banking. A customer can avail banking services by registering for internet banking and using the customer ID and password provided. It offers additional security by sending an OTP to the registered mobile phone number. Mobile banking, as the term implies, is carried out using a mobile phone. It uses the bank's own app or the apps provided by aggregators, such as Google Pay, to facilitate transactions. However, only certain transactions can be carried out through mobile banking, while net banking allows almost all banking services. Charge for UPIReports indicate that a certain fee should be paid for UPI transactions, which are currently carried out free of cost. The National Payment Corporation of India, the custodian of the UPI network, already charges banks 0.02 per cent as a switch fee. However, the service is free for the public. Deliberations are underway to charge the public for UPI transactions. The ICICI Bank is already charging 2 paise for every ₹100 transacted at the aggregator level. Additionally, the apps now display the recipient's name. The app could be fakeSeveral people have been deceived after downloading fake apps from official platforms, such as the Google Play Store or Apple App Store. Recently, digital fraudsters scammed the users of a prominent bank's app, highlighting the risks associated with it. Phone security is limited compared to that provided by desktops or laptops. Hence, the user should ensure that the phone is secure and be alert against fraudulent apps. Ideally, mobile apps should be used for transacting smaller amounts of money. Setting a limit for such transactions is highly recommended. Likewise, setting a limit to the balance in the bank account linked to the app is also advised. Such measures could help in limiting the loss, if it ever happens. As mentioned earlier, net banking adheres to stringent measures and is generally considered safer than mobile banking apps. Future portalsWe are not far from when seamless banking services migrate to portals. We have already taken the first step towards adopting artificial intelligence, with virtual assistants and chatbots already answering customer queries. Soon, portals will offer real-time, advanced banking advice and solutions, leveraging the power of artificial intelligence. Internet banking is likely to become more relevant in the coming days, far more so than the excitement mobile banking apps are creating now. Domain name for securityWith the widespread use of online banking, cybercrimes have also increased in India. Fraudsters create clone websites of banking and financial institutions to con customers. The Reserve Bank of India has now recommended a new domain name to prevent phishing. The central bank has instructed all banks and net banking websites to add the domain names bank.in and fin.in, as well as those of non-banking financial institutions. Although the domain name change has been in place since April, the RBI has extended the deadline until October 31 to implement the change. This will reassure the customer that they have reached the official website of an Indian bank or financial institution, where they can carry out transactions.(The author is a columnist and consultant with the World Bank.) © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
NCRB data depicts six-fold rise in child marriage cases in India,"Onmanorama Lite App    Onmanorama Staff Published: October 03, 2025 03:37 PM IST 1 minuteRead Link Copied New Delhi: The number of cases registered under the Prohibition of Child Marriage Act in 2023 is six times the figure from the previous year, according to the latest data from the National Crime Records Bureau (NCRB). According to the data, 90 per cent of the total cases can be attributed to Assam alone. The NCRB data also revealed that 16,737 girls and 129 boys were kidnapped or abducted ""for marriage"" in 2023. In 2023, 6,038 cases were filed under the act, compared to 1,002 cases in 2022 and 1,050 cases in 2021, indicating a sharp rise. Among these, 5,267 cases were reported in Assam alone, placing it at the top of the list. Other states which showed higher figures included Tamil Nadu (174), Karnataka (145) and West Bengal (118). Meanwhile, several states and Union Territories, such as Chhattisgarh, Nagaland, Ladakh, and Lakshadweep, reported no cases under the Prohibition of Child Marriage Act during the year. The act, enacted in 2006, prohibits marriage of girls below the age of 18 and boys below 21, and criminalises those who organise, perform or facilitate such marriages. © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
Banks to clear cheques on same day from tomorrow under RBI’s new rules,"Onmanorama Lite App    Onmanorama Staff Published: October 03, 2025 03:33 PM IST 2 minuteRead Link Copied New Delhi: Cheque clearance is expected to become faster as private banks, including HDFC Bank and ICICI Bank, implement the Reserve Bank of India’s (RBI) new cheque settlement framework from October 4. Under this system, cheques deposited will be cleared within a few hours on the same day instead of the current 1–2 working days. Key updates Positive Pay System mandatory for large chequesTo strengthen security, banks are urging customers to use the Positive Pay System, especially for cheques above ₹50,000. Account holders must share cheque details such as: These details should be submitted at least 24 working hours before deposit. Cheques above ₹5 lakh require Positive Pay mandatorily as per RBI rules, while it is highly recommended for amounts above ₹50,000. If the details provided match at the time of cheque presentation, clearance will proceed smoothly. If not, the cheque will be rejected, and the drawer must resubmit accurate details. How to submit cheque detailsCustomers need to email cheque details to their bank’s designated regional email address. Banks will send an acknowledgement message confirming receipt before processing begins. What changes for customersCurrently, banks use the Cheque Truncation System (CTS), which sends electronic images of cheques to the drawee bank. While this eliminates physical movement of cheques, settlement usually takes two working days. From October 4, cheques will be cleared on the same day, greatly improving fund availability. The RBI’s new framework will roll out in two phases: Checklist to avoid cheque rejection With same-day cheque clearance, customers of HDFC Bank, ICICI Bank, and other private banks will benefit from faster access to funds and enhanced payment security. Using the Positive Pay System and ensuring error-free cheque details will be key to smooth transactions under the new RBI guidelines. © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
"Pakistan lost AWACS, 4-5 fighter jets in Op Sindoor: IAF Chief","Onmanorama Lite App    Onmanorama Staff Published: October 03, 2025 02:39 PM IST 1 minuteRead Link Copied New Delhi: India launched Operation Sindoor with a clear objective and concluded the mission promptly after achieving its goal, a model the world can learn from, Chief of Air Staff Air Chief Marshal AP Singh said on Friday. Speaking at a press conference ahead of Air Force Day, the Air Chief also revealed that the Indian Air Force has drawn up a Roadmap 2047 to enhance its combat capabilities. Delving into various aspects of Operation Sindoor, he said it was a reflection of tri-services synergy. Asked about Pakistan's losses during Operation Sindoor, he said in the air, we have evidence of one long-range strike of Airborne Warning and Control System (AWACS) and four to five fighters. Pakistan's losses included radars, command and control centres, runways and hangars, he said. In response to the April 22 Pahalgam attack, India launched Operation Sindoor on May 7, targeting terror infrastructure in territories controlled by Pakistan. The strikes triggered four days of intense clashes that ended with an understanding on stopping the military actions on May 10. The IAF chief also said all three services have started working on the 'Sudarshan Chakra' air defence system. Prime Minister Narendra Modi on August 15 announced the project to develop an indigenous air defence system to protect India's vital military and civilian installations and to deliver a decisive response to any enemy threat Asked if the IAF was looking at procuring more S-400 air defence missiles, the Air Chief Marshal didn't give a direct reply but said the platform proved to be a good one. (With PTI inputs) © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
A public appeal to Norwegian Nobel Committee on behalf of people of Kerala,"Onmanorama Lite App    Thomas Sajan & Titto Idicula Published: September 19, 2025 12:02 PM IST 6 minuteRead Link Copied To the Honourable members of the Nobel Committee,We, on behalf of the people of Kerala, are writing this letter to lodge a public appeal against some nominations that came in support of US President Donald Trump for the 2025 Nobel Peace Prize. To put the perspective clear at the outset, our grievance has very little to do with who Trump is, nor are we here to dispute or evaluate the merits of his claim that he ended six (or seven) wars. Our sole intention is to draw your attention to his trade policies and their detrimental effects on global peace. Our arguments are based on how trade influences peace and harmony both among and within nations, and we would like to illustrate this by drawing your attention to our home state, Kerala. Trade and peaceThe role of trade interdependence in promoting peace and security among nations is well established in scholarly discourse, with notable examples including the ‘commercial peace theory’ and the WTO’s Trade for Peace Programme. As you are well aware of, a good illustration of this can be drawn from Europe itself, which once fought the Hundred Years’ War and two World Wars. Peace among the erstwhile warring European nations over the last half-century has been sustained largely through the establishment of common trade-facilitating institutions, such as the Organisation for European Economic Cooperation immediately after World War II, and later the European Economic Area and the Euro currency. History has shown that disputes over trade among nations can easily escalate and strain relations even between time-tested allies. A recent example is the US and Canada, whose ties deteriorated following President Trump’s unilateral imposition of tariffs on Canadian imports. The Kerala storyKerala is a striking grassroots model of how a culture of trade, sustained over many millennia, cultivates deeper linkages among communities and fosters peaceful coexistence. This southwestern Indian state has a unique trading history dating back to the 3rd millennium BC, which brought Sumerian, Roman, Chinese, and Arab traders to its coast. Flip through the pages of a Norwegian dictionary and you will come across a now-obsolete word, malebarisk, meaning extraordinary, though many Norwegians may not realise that it refers to the historic trade coast of Malabar in old Kerala. To illustrate how trade formed our society, we would like to draw the Nobel Committee’s attention to the Jewish community in Kochi, the historic port city of Kerala. The Jews are believed to have arrived in Kerala as traders during the era of King Solomon, a view supported by Hebrew inscriptions found on various artefacts originating from the region. Kerala is perhaps the only place in the world where Jews were never persecuted. Its history was shaped by diverse religious communities living in harmony for centuries, sustained by a trading culture that fostered trust and left little space for ethnic violence. To further illustrate this, we bring in a contemporary anecdote of the relationship between entrepreneur Sarah Jacob Cohen, one of the oldest members of Kochi's Jewish community, and Taha Ibrahim, a Muslim street vendor who cared for Ms Cohen until her death at the age of 96 in 2019. A simple act of trust sparked one of humanity’s most treasured relationships in the early 1980s: Sarah’s husband, Jacob Elias Cohen, entrusted Taha, a teenage Muslim boy, to keep his trade belongings in the Jewish home. Sarah Cohen’s embroidery shop in Kochi’s Jew Town is currently run by Taha Ibrahim, where visitors can buy Jewish speciality items such as handmade kippah caps and halah covers, along with viewing a small museum that preserves her personal belongings. At a time when the ‘genocidal’ war in Gaza deepens humanitarian crises with few parallels in modern history, we feel the Kerala story of Jews and Muslims harmoniously tied by trade matters greatly. Such a cosmopolitan trading culture significantly contributed to shaping Kerala as one of the most peaceful societies in India, where the three major religious communities – Hindus, Muslims, and Christians – along with other minorities, remain intricately interconnected through trade networks, even extending to the diasporic level. Tariff victimsThe rules-based era of global trade, which began with the signing of the General Agreement on Tariffs and Trade (GATT) in 1947 and was consolidated through multiple rounds of negotiations and political contestations, ultimately culminated in the establishment of the World Trade Organisation (WTO) in 1995. The kind of disruption that Trump’s unilateral tariffs inflict on the painstakingly built global trading system is nothing short of disastrous. The ‘golden’ promise of global trade has now turned into a deadly trap for exporters and labourers in Kerala. They are being forced out of the market by President Trump’s retaliatory tariffs, which undermine the multilateral trading system. In the villages of southern Kerala, traditional cashew factory workers – once a textbook case of integration with the global economy – are now gripped by a livelihood crisis. With centuries of inherited expertise, they shell, peel, and roast imported raw cashew nuts from Africa for export, until recently primarily to American and other Western markets. Shocking stories of piled-up stocks in the godowns of export-oriented seafood processing units in Kerala, coupled with cancelled orders from the US, are emerging, leaving thousands unemployed. What makes it alarming is that these are enterprises with heavy investments to meet stringent quality requirements in processing, supported by a highly trained staff equipped to meet the global export standards. In these hard times, as our marine export industry faces an existential crisis, we gratefully acknowledge Norway’s historic role in modernising Kerala’s fisheries sector during the difficult years following our independence from the British Empire. In 1952, the Norwegian government launched its first-ever international foreign aid project in Kerala, providing motorboats and introducing processing facilities – a pioneering peace initiative that laid the foundation for the state to become a major player in the seafood export market. Our core grievanceWe believe that President Trump has weaponised trade, unilaterally imposing tariffs on countries that stand in the way of his Nobel Prize aspirations. The greatest irony of our time is that a US president, while instigating or threatening multiple trade wars – thereby creating suffering populations and a discordant world – is simultaneously pursuing one of humanity’s highest honours: the Nobel Peace Prize. Therefore, on behalf of the people of Kerala, we respectfully but firmly urge the Norwegian Nobel Committee to reject any consideration of Donald Trump for the Nobel Peace Prize. President Trump, the ‘greatest disruptor’ of global trade this century, in no way fulfils Alfred Nobel’s core vision for awarding the Peace Prize to someone “who shall have done the most or the best work for fraternity between nations.”(Social anthropologist and novelist Thomas Sajan and US-trained neurologist Titto Idicula, based in Norway, write on politics, culture, economy, and medicine.) © Copyright 2025 Onmanorama.  All rights reserved. ",REAL
"‘എന്ത് പാർട്ടിയാണിത്? ആളുകൾ മരിച്ചുവീണപ്പോൾ നേതാവ് സ്ഥലംവിട്ടു, വിജയ്ക്ക് നേതൃഗുണമില്ല’; രൂക്ഷവിമർശനവുമായി മദ്രാസ് ഹൈക്കോടതി","Activate your premium subscription today    ഓൺലെെൻ ഡെസ്ക് Published: October 03, 2025 04:39 PM ISTUpdated: October 03, 2025 04:57 PM IST 1 minuteRead Link Copied ചെന്നൈ ∙ കരൂരിൽ സംഭവിച്ചത് മനുഷ്യനിർമിതദുരന്തമെന്ന്മദ്രാസ് ഹൈക്കോടതി. സംഭവത്തിൽ കോടതിക്ക് കണ്ണടയ്ക്കാനാവില്ലെന്നും ആരും നിയമത്തിനു അതീതരല്ലെന്നും വ്യക്തമാക്കിയ കോടതിവിജയ്ക്കെതിരെരൂക്ഷവിമർശനമാണ് നടത്തിയത്. എന്തു പാർട്ടിയാണിത്. സ്ത്രീകളും കുട്ടികളുമടക്കം മരിച്ചിട്ടും നേതാവ് സ്ഥലം വിട്ടു. അണികളെ ഉപേക്ഷിച്ചയാൾക്ക് നേതൃഗുണമില്ലെന്നും കോടതി വിമർശിച്ചു. കരൂർ ദുരന്തത്തിൽ നടനുംടിവികെസ്ഥാപക നേതാവുമായ വിജയ്ക്കെതിരെ കേസെടുക്കണമെന്ന ഹർജിയിലാണ് കോടതിയുടെ ഉത്തരവ്. അതേസമയം കരൂർ ദുരന്തം അന്വേഷിക്കാൻ പ്രത്യേക അന്വേഷണ സംഘത്തെയും രൂപീകരിച്ച് ഹൈക്കോടതി ഉത്തരവായി. നോർത്ത് സോൺ ഐജിക്കാണ് കേസ് അന്വേഷണ ചുമതല . നാമക്കൽ എസ്പിയും അന്വേഷണ സംഘത്തിന്റെ ഭാഗമാവും. സംസ്ഥാന സർക്കാരിനും രൂക്ഷമായ വിമർശനമാണ് കോടതിയിൽ നിന്നുണ്ടായത്. കേസ് അന്വേഷണം മുന്നോട്ടു കൊണ്ടുപോകാൻ സർക്കാർ മടിക്കുന്നതെന്താണെന്നാണ് സർക്കാരിനോട് കോടതി ചോദിച്ചത്. തുടർന്ന് രണ്ട് പേരെഅറസ്റ്റുചെയ്തുവെന്ന സർക്കാർ അഭിഭാഷകന്റെ മറുപടിയോട് രൂക്ഷമായിട്ടാണ് കോടതി പ്രതികരിച്ചത്. ടിവികെയോട് സർക്കാരിന് എന്താണ് ഇത്ര വിധേയത്വം എന്നും കോടതി ചോദിച്ചു. സർക്കാരിന്റെ എതിർപ്പ് അവഗണിച്ചാണ് കോടതി പ്രത്യേക അന്വേഷണ സംഘത്തെ രൂപീകരിച്ചത്. ഇന്ന് കോടതിയുടെ ഭാഗത്ത് നിന്നും ശക്തമായ എതിർപ്പുണ്ടായതോടെ വിജയ് കേസിൽ പ്രതിയാകുമോ എന്നതാണ് ഇനി കണ്ടറിയേണ്ടത്. അതേസമയം,കരൂർ ദുരന്തത്തിൽസിബിഐ അന്വേഷണം ആവശ്യപ്പെട്ടുള്ള രണ്ട് ഹർജികളും നേരത്തെ മദ്രാസ് ഹൈക്കോടതി തള്ളിയിരുന്നു. നിലവിൽ കേസിന്റെ അന്വേഷണം പുരോഗമിക്കുകയാണെന്നും സിബിഐ അന്വേഷണത്തിന്റെ ആവശ്യമില്ലെന്നും കോടതി പറഞ്ഞു. പൊതുയോഗങ്ങൾ നടത്തുമ്പോൾ പാലിക്കേണ്ട നടപടിക്രമങ്ങൾ (എസ്ഒപി) രൂപീകരിക്കുന്നതു വരെ ഒരു യോഗത്തിനും ഇനി അനുമതി നൽകില്ലെന്നു തമിഴ്നാട് സർക്കാർ ഹൈക്കോടതിയെ അറിയിച്ചു. യോഗങ്ങൾ നടത്തുമ്പോൾ ശുദ്ധജലം, ശുചിമുറി തുടങ്ങിയവ ഒരുക്കേണ്ടത് അതാതു രാഷ്ട്രീയ പാർട്ടികളുടെ ഉത്തരവാദിത്തമാണെന്നു കോടതി വ്യക്തമാക്കി. ദേശീയ – സംസ്ഥാന പാതകളുടെ സമീപത്ത് ഒരു പാർട്ടിക്കും യോഗങ്ങൾ നടത്താൻ അനുമതി നൽകരുതെന്നും കോടതി പറഞ്ഞു. Activate your premium subscription today. © Copyright 2025 Manoramaonline. All rights reserved. ",REAL
കാൽനടയാത്രക്കാർക്ക് മരണപാത ബെംഗളൂരു റോഡുകൾ; തുടർച്ചയായ രണ്ടാംവർഷവും പട്ടികയിൽ ഒന്നാമത്,"Activate your premium subscription today    ഓൺലെെൻ ഡെസ്ക് Published: October 03, 2025 04:16 PM ISTUpdated: October 03, 2025 04:28 PM IST 1 minuteRead Link Copied ബെംഗളൂരു∙ തുടർച്ചയായ രണ്ടാംവർഷവും രാജ്യത്ത് ഏറ്റവും കൂടുതൽ കാൽനടയാത്രക്കാർഅപകടങ്ങളിൽമരിക്കുന്ന നഗരമായിബെംഗളൂരു. 2023ലെ കണക്കുകളാണ് ദേശീയ ക്രൈം റെക്കോർഡ്സ് ബ്യൂറോ പുറത്തുവിട്ടിരിക്കുന്നത്. ഇതുപ്രകാരം, 292 കാൽനടയാത്രക്കാരാണ് 2023 ൽ അപകടങ്ങളിൽ മരിച്ചത്. 2022ൽ ഇത് 247 ആയിരുന്നു. 2023ൽ 915 പേരാണ് ബെംഗളൂരുവിൽ വാഹനാപകടങ്ങളിൽ മരിച്ചത്. കാൽനടയാത്രക്കാരുടെ മരണം കൂടാതെ അപകടങ്ങളിൽ 1021 പേർക്കു പരുക്കേറ്റിട്ടുമുണ്ട്. 236 കാൽനടക്കാർ മരിച്ച അഹമ്മദാബാദ് നഗരം പട്ടികയിൽ രണ്ടാമതും 201 പേർ മരിച്ച ജയ്പുർ പട്ടികയിൽ മൂന്നാമതുമാണ്. 2023ൽ ബെംഗളൂരുവിൽ 4980 വാഹനാപകടങ്ങളുണ്ടായി. മുൻ വർഷത്തെ 3822നേക്കാൾ 30.3 ശതമാനം വർധനവാണിത്. ബെംഗളൂരുവിലെ 915 വാഹനാപകടമരണങ്ങളിൽ55 ശതമാനവും ഇരുചക്രവാഹന യാത്രികരാണ്. കാർ യാത്രികരാകട്ടെ 5 ശതമാനം മാത്രമാണ്. 64 ശതമാനം വാഹനാപകടങ്ങൾക്കും കാരണം അമിതവേഗതയാണെന്ന് ക്രൈം റെക്കോർഡ്സ് ബ്യൂറോ കണക്കുകൾ പറയുന്നു. ബെംഗളൂരു അർബൻ മേഖലയിലുണ്ടായ 838 അപകടങ്ങളിൽ 42 എണ്ണം സീബ്രാലൈനുകളിലാണ്. 188 റെസിഡൻഷ്യൽ മേഖലകളിലും 66 അപകടങ്ങൾ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്ക് സമീപത്തുമാണ്. Activate your premium subscription today. © Copyright 2025 Manoramaonline. All rights reserved. ",REAL
"‘അത്തരം വേദികളിൽ ഇനിയും പോകും, പല കാര്യങ്ങളും തുറന്നുപറഞ്ഞാൽ പ്രത്യാഘാതം താങ്ങില്ല’","Activate your premium subscription today    ഓൺലൈൻ പ്രതിനിധി Published: October 03, 2025 03:31 PM IST 1 minuteRead Link Copied കൊച്ചി ∙ പല കാര്യങ്ങളും തനിക്കറിയാമെന്നും എല്ലാം തുറന്നുപറഞ്ഞാൽ പ്രത്യാഘാതം താങ്ങില്ലെന്നും നടി റിനി ആൻ ജോർജ്.രാഹുൽ മാങ്കൂട്ടത്തിൽവിഷയവുമായി ബന്ധപ്പെട്ട് നിരന്തരംസൈബർ ആക്രമണംനേരിടുന്നതിനു പിന്നാലെസിപിഎംവേദിയിൽ പോയതിൽ ഉയർന്ന വിവാദങ്ങളോട് പ്രതികരിക്കുകയായിരുന്നു അവർ. താൻ ഗൂഢാലോചന നടത്തി എന്ന് ആരോപിക്കുന്നവർ ആർക്കൊപ്പം അതു നടത്തിയെന്ന് വ്യക്തമാക്കണം. അതു തെളിയിച്ചാൽ ജീവിതം തന്നെ അവസാനിപ്പിക്കാന്‍ തയാറാണെന്നും റിനി പറഞ്ഞു. സിപിഎം നേതാവ് കെ.ജെ.ഷൈനെതിരായ സൈബർ ആക്രമണത്തിൽ പ്രതിഷേധിച്ച് സിപിഎം പറവൂരിൽ സംഘടിപ്പിച്ച യോഗത്തിൽ റിനിയും പങ്കെടുത്തിരുന്നു. യോഗത്തിൽ വച്ച് റിനിയെ ഷൈൻ സിപിഎമ്മിലേക്ക് ക്ഷണിക്കുകയും ചെയ്തു. എന്നാൽ താൻ ഏതെങ്കിലും രാഷ്ട്രീയ പാർട്ടിയുടെ ഭാഗമായല്ല പരിപാടിയിൽ പങ്കെടുത്തതെന്ന് റിനി പറഞ്ഞു. ‘‘സ്ത്രീപക്ഷ നിലപാടാണ് എനിക്ക്. അതു സംസാരിക്കുന്നതിനു വേദിയൊരുങ്ങിയപ്പോളാണ് പോയി സംസാരിച്ചത്. ഇനിയും അത്തരം വേദികളിൽ പോകും. ഞാൻ ഒരു രാഷ്ട്രീയ പാർട്ടിയിലും അംഗമല്ല. സിപിഎം വേദിയിൽ പോയത് വിവാദമാക്കേണ്ട ആവശ്യമില്ല. സ്ത്രീകൾക്കെതിരെ നടക്കുന്ന സൈബർ ആക്രമണത്തിനെതിരായ പരിപാടി ആയിരുന്നു. ഒരു പാർട്ടിക്കെതിരെയും അവിടെ ഞാൻ സംസാരിച്ചിട്ടില്ല. ഇത്തരം പരിപാടിയിലേക്ക് ആരു ക്ഷണിച്ചാലും പോകും’’ –റിനി പറഞ്ഞു. പ്രസ്ഥാനത്തെ സ്നേഹിക്കുന്നതു കൊണ്ടാണ് ഇങ്ങനെ പിടിച്ചു നിൽക്കുന്നതെന്നും താൻ ആർക്കൊപ്പം ഗൂഢാലോചന നടത്തി എന്ന് ആരോപണം ഉന്നയിക്കുന്നവർ വ്യക്തമാക്കണമെന്നും അവർ ആവശ്യപ്പെട്ടു. ‘‘എനിക്ക് പല കാര്യങ്ങളും അറിയാം. ഇതുപോലെ ആക്രമിക്കാനാണ് ഉദ്ദേശ്യമെങ്കിൽ അതെല്ലാം തുറന്നു പറയും. അതിന്റെ പ്രത്യാഘാതം താങ്ങില്ല എന്ന് ഓർമിപ്പിക്കുന്നു’’ –റിനി പറഞ്ഞു. കെ.ജെ.ഷൈനിന് തന്നെ സിപിഎമ്മിലേക്ക് ക്ഷണിക്കാൻ സ്വാതന്ത്ര്യമുണ്ടെന്ന് അവർ പറഞ്ഞു. നിലവിൽ ഒരു സ്ഥലത്തും പോകാൻ പറ്റാത്ത അവസ്ഥയാണ്. ഇരകൾ അപഹാസ്യരാകുന്ന അവസ്ഥയാണ് കാണുന്നത്. താൻ നൽകിയ പരാതിയിൽ എടുത്ത കേസിൽ അന്വേഷണം കാര്യക്ഷമമായി മുന്നോട്ട് പോകുന്നുണ്ടെന്നും റിനി ആൻ ജോർജ് പറഞ്ഞു. Disclaimer: വാർത്തയു‍ടെ കൂടെയുള്ള ചിത്രം മലയാള മനോരമയുടേതല്ല. ചിത്രം rinianngeorge എന്ന ഇൻസ്റ്റ അക്കൗണ്ടിൽ നിന്ന് എടുത്തതാണ്. Activate your premium subscription today. © Copyright 2025 Manoramaonline. All rights reserved. ",REAL
ക്ലാസിൽ കുട്ടിയെ ശകാരിച്ചെന്ന്; വേദപാഠം അധ്യാപകന്റെ മുഖം കല്ലുകൊണ്ട‌് ഇ‌ടിച്ചു തകർത്തു,"Activate your premium subscription today    ഓൺലെെൻ ഡെസ്ക് Published: October 03, 2025 03:10 PM IST 1 minuteRead Link Copied ശ്രീകണ്ഠപുരം (കണ്ണൂർ) ∙ വേദപാഠ ക്ലാസിൽ വിദ്യാർഥിയെ ശകാരിച്ചെന്ന് ആരോപിച്ച് അധ്യാപകന്റെ മുഖത്ത് കല്ലുകൊണ്ട് ഇ‌‌‌ടിച്ചു ഗുരുതരമായി പരുക്കേൽപിച്ചെന്ന് ആരോപണം. ചെമ്പേരിയിലെ എക്സൽ അലുമിനിയം ഫാബ്രിക്കേഷൻ ഉടമയും നെല്ലിക്കുറ്റി പള്ളി കൈക്കാരനുമായ ബിജു തയ്യിലിനാണ് വ്യാഴാഴ്ച വൈകിട്ട് അഞ്ചരയോടെമർദനമേറ്റത്.ഏരുവേശ്ശി സർവീസ് സഹകരണ ബാങ്ക് ജീവനക്കാരനാണു മർദിച്ചതെന്നാണ് വിവരം. റേഷൻ കടയിൽനിന്നു സാധനം വാങ്ങി മടങ്ങുകയായിരുന്ന ബിജുവിന്റെ വാഹനം തടഞ്ഞുനിർത്തി കല്ലുകൊണ്ട് തലയിലും മുഖത്തും തുടരെ ഇടിക്കുകയായിരുന്നെന്നാണ് പരാതി. ഇടിയേറ്റ് മൂക്കിലൂടെയും വായിലൂടെയും രക്തം ചീറ്റി വാഹനത്തിൽ കുഴഞ്ഞു വീണ ബിജുവിനെ നാട്ടുകാരാണ് ആശുപത്രിയിലെത്തിച്ചത്. മർദിച്ചയാളുടെ മകന്റെ വേദപാഠം അധ്യാപകനായ ബിജു കുട്ടിയെ ക്ലാസിൽവച്ചു ശകാരിച്ചു എന്നാരോപിച്ചാണ് മർദനമെന്നു പറയുന്നു. മുൻപും വാഹനം തട‌ഞ്ഞുനിർത്തി ബിജുവിനെ ആക്രമിക്കാൻ ഇയാൾ ശ്രമിച്ചെപ്പോൾ നാട്ടുകാർ തടഞ്ഞിരുന്നെന്നു പറയപ്പെടുന്നു. നെല്ലിക്കുറ്റി വ്യാപാരി വ്യവസായ ഏകോപന സമിതി യൂണിറ്റ് സെക്രട്ടറി കൂടിയായ ബിജുവിനെ മർദിച്ചതിൽ പ്രതിഷേധിച്ച് നെല്ലിക്കുറ്റിയിൽ ഹർത്താലാണ്. Activate your premium subscription today. © Copyright 2025 Manoramaonline. All rights reserved. ",REAL
